observed,p,striping,xios_nodes,sample_size,raid_level
-0.435936,0.0,unstriped,1,3500,control
-0.4571300408163265,0.0,unstriped,1,3500,RAID
0.37725426530612244,0.0,striped,2,3500,control
0.2917429387755102,0.0,striped,2,3500,RAID
0.6406332244897959,0.0,unstriped,2,3500,control
0.5116596734693878,0.0,unstriped,2,3500,RAID
0.6506521428571429,0.0,striped,4,3500,control
0.5557340612244898,0.0,striped,4,3500,RAID
0.7532780408163265,0.0,unstriped,4,3500,control
0.6152287346938775,0.0,unstriped,4,3500,RAID
