filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1040.375,831.862,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060201-2021060202.nc,1314022020,1147.144,887.365,41,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,983.782,747.991,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,842.516,606.797,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1132.954,858.013,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060202-2021060203.nc,1314022020,1370.919,1045.462,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060203-2021060204.nc,1314022020,1506.444,1155.053,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060200-2021060203.nc,862536694,1134.45,847.652,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060204-2021060205.nc,1314022020,1396.01,988.602,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1385.547,963.27,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1372.456,926.035,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1533.526,944.827,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,982.243,761.299,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060205-2021060206.nc,1314022020,1328.941,957.035,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060206-2021060207.nc,1314022020,1376.834,976.025,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060203-2021060206.nc,862536694,1356.447,1000.288,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060207-2021060208.nc,1314022020,1419.875,1106.022,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1714.514,1251.459,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1316.333,918.882,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1066.475,759.393,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1219.23,911.855,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060208-2021060209.nc,1314022020,1475.894,1121.063,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060209-2021060210.nc,1314022020,1204.233,968.608,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060206-2021060209.nc,862536694,524.518,443.285,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060210-2021060211.nc,1314022020,1343.571,975.225,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1325.89,938.447,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1349.258,934.299,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1636.307,1012.649,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1284.607,948.776,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060211-2021060212.nc,1314022020,1573.872,1195.839,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060212-2021060213.nc,1314022020,1638.519,1228.937,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060209-2021060212.nc,862536694,1359.221,952.836,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060213-2021060214.nc,1314022020,1197.503,913.051,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1281.331,916.652,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,1594.301,1128.626,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1346.021,865.772,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1284.517,948.063,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060214-2021060215.nc,1314022020,1225.945,914.446,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060215-2021060216.nc,1314022020,1235.595,989.157,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060212-2021060215.nc,862536694,1210.666,911.663,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060216-2021060217.nc,1314022020,1648.43,1238.4,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1753.093,1279.635,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,1389.726,942.049,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1034.558,745.901,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1215.642,918.27,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060217-2021060218.nc,1314022020,1375.713,978.871,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060218-2021060219.nc,1314022020,1483.725,1143.352,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060215-2021060218.nc,862536694,1531.612,1152.622,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060219-2021060220.nc,1314022020,1537.294,1174.204,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1686.333,1235.908,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,1524.568,1097.393,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,1407.183,861.734,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,915.418,777.605,103,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060220-2021060221.nc,1314022020,1410.884,1098.228,41,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060221-2021060222.nc,1314022020,1415.028,994.269,41,1,2025-12-01 17:17:41.305906
lfric_name_2021060218-2021060221.nc,862536694,1624.995,1199.075,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060222-2021060223.nc,1314022020,1534.286,1174.288,41,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1226.238,915.617,29,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,1449.738,1056.454,330,1,2025-12-01 17:17:41.305906
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,714.189,537.995,57,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1589.161,1214.527,103,1,2025-12-01 17:17:41.305906
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,739.141,637.285,29,1,2025-12-01 17:17:41.305906
lfric_ver_tp0.nc,303654013,1046.445,751.371,46,1,2025-12-01 17:17:41.305906
lfric_ver.nc,1137088784,1010.292,751.866,167,1,2025-12-01 17:17:41.305906
lfric_name_2021060221-2021060300.nc,862536694,332.76,309.964,59,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060223-2021060300.nc,1314022020,1186.836,870.774,41,1,2025-12-01 17:17:41.305906
lfric_ppscreen.nc,1394639367,1288.643,986.219,41,1,2025-12-01 17:17:41.305906
lfric_bg_for_hofx.nc,37779248424,1137.646,927.265,957,1,2025-12-01 17:17:41.305906
lfric_bg_for_land_hofx.nc,60337359,687.804,468.238,41,1,2025-12-01 17:17:41.305906
lfric_initial.nc,886433697,1410.719,1015.969,29,1,2025-12-01 17:17:41.305906
lfric_ppvar_2021060200-2021060201.nc,1314022020,1347.799,1054.937,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060201-2021060202.nc,1314022020,1479.002,1147.281,41,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,1332.808,940.387,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1420.42,917.986,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1387.489,1051.334,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060202-2021060203.nc,1314022020,1433.237,1089.587,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060203-2021060204.nc,1314022020,1157.834,941.007,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060200-2021060203.nc,862536694,960.36,770.965,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060204-2021060205.nc,1314022020,1514.326,1166.863,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1369.776,1050.417,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1339.852,977.686,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1621.525,990.309,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1430.434,1112.073,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060205-2021060206.nc,1314022020,1525.525,1170.493,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060206-2021060207.nc,1314022020,1515.537,1163.219,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060203-2021060206.nc,862536694,1713.184,1216.686,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060207-2021060208.nc,1314022020,1599.795,1226.604,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1295.994,1017.161,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1649.779,1161.279,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1920.332,1143.076,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1533.06,1182.888,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060208-2021060209.nc,1314022020,1523.448,1165.292,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060209-2021060210.nc,1314022020,1521.333,1168.646,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060206-2021060209.nc,862536694,879.734,706.88,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060210-2021060211.nc,1314022020,1718.527,1294.699,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1631.313,1218.467,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1633.793,1167.625,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,287.29,237.617,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1610.201,1243.515,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060211-2021060212.nc,1314022020,632.264,561.215,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060212-2021060213.nc,1314022020,1689.335,1282.415,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060209-2021060212.nc,862536694,1520.328,1163.334,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060213-2021060214.nc,1314022020,1516.678,1180.986,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1340.262,1054.755,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,1501.69,1089.163,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1681.176,1052.259,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1610.573,1247.162,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060214-2021060215.nc,1314022020,1627.757,1244.027,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060215-2021060216.nc,1314022020,1225.832,988.699,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060212-2021060215.nc,862536694,908.073,749.693,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060216-2021060217.nc,1314022020,1358.972,1063.452,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1471.431,1124.19,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,631.592,541.507,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1652.917,1038.935,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1578.005,1228.114,103,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060217-2021060218.nc,1314022020,1623.828,1244.742,41,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060218-2021060219.nc,1314022020,1176.016,950.792,41,1,2025-12-01 17:27:00.319993
lfric_name_2021060215-2021060218.nc,862536694,1549.068,1162.821,59,1,2025-12-01 17:27:00.319993
lfric_ppvar_2021060219-2021060220.nc,1314022020,1575.379,1200.771,41,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1263.145,994.292,29,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,458.661,411.981,330,1,2025-12-01 17:27:00.319993
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,614.35,499.013,57,1,2025-12-01 17:27:00.319993
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,1545.382,1193.668,103,1,2025-12-01 17:27:00.319993
