filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1503.541,1188.266,2025-11-27 18:04:30.505318
lfric_ppvar_2021060201-2021060202.nc,1314022020,1580.45,1243.617,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,418.45,372.697,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1282.295,900.573,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1202.936,973.721,2025-11-27 18:04:30.505318
lfric_ppvar_2021060202-2021060203.nc,1314022020,1462.765,1137.015,2025-11-27 18:04:30.505318
lfric_ppvar_2021060203-2021060204.nc,1314022020,1596.477,1246.237,2025-11-27 18:04:30.505318
lfric_name_2021060200-2021060203.nc,862536694,1149.121,922.679,2025-11-27 18:04:30.505318
lfric_ppvar_2021060204-2021060205.nc,1314022020,1358.461,1094.458,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1390.62,1100.624,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,475.533,427.565,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,991.351,752.581,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1451.876,1169.55,2025-11-27 18:04:30.505318
lfric_ppvar_2021060205-2021060206.nc,1314022020,1508.186,1232.768,2025-11-27 18:04:30.505318
lfric_ppvar_2021060206-2021060207.nc,1314022020,1495.418,1189.338,2025-11-27 18:04:30.505318
lfric_name_2021060203-2021060206.nc,862536694,1172.157,941.925,2025-11-27 18:04:30.505318
lfric_ppvar_2021060207-2021060208.nc,1314022020,1648.631,1284.052,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1314.289,1082.492,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,435.135,397.724,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1263.736,921.248,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1294.11,1050.93,2025-11-27 18:04:30.505318
lfric_ppvar_2021060208-2021060209.nc,1314022020,1596.023,1238.194,2025-11-27 18:04:30.505318
lfric_ppvar_2021060209-2021060210.nc,1314022020,1425.165,1158.975,2025-11-27 18:04:30.505318
lfric_name_2021060206-2021060209.nc,862536694,1134.624,893.181,2025-11-27 18:04:30.505318
lfric_ppvar_2021060210-2021060211.nc,1314022020,1258.822,1044.038,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1460.576,1161.557,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,450.256,411.738,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1580.621,1072.603,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1147.2,975.154,2025-11-27 18:04:30.505318
lfric_ppvar_2021060211-2021060212.nc,1314022020,1171.357,984.314,2025-11-27 18:04:30.505318
lfric_ppvar_2021060212-2021060213.nc,1314022020,1534.748,1227.899,2025-11-27 18:04:30.505318
lfric_name_2021060209-2021060212.nc,862536694,1166.457,963.705,2025-11-27 18:04:30.505318
lfric_ppvar_2021060213-2021060214.nc,1314022020,1448.476,1170.275,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1352.789,1103.627,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,375.002,346.696,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,982.807,756.406,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1341.204,1112.047,2025-11-27 18:04:30.505318
lfric_ppvar_2021060214-2021060215.nc,1314022020,1555.898,1236.291,2025-11-27 18:04:30.505318
lfric_ppvar_2021060215-2021060216.nc,1314022020,1470.908,1186.642,2025-11-27 18:04:30.505318
lfric_name_2021060212-2021060215.nc,862536694,958.084,767.489,2025-11-27 18:04:30.505318
lfric_ppvar_2021060216-2021060217.nc,1314022020,840.004,740.073,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1486.239,1194.149,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,433.0,396.868,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,799.092,599.974,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1301.555,1079.478,2025-11-27 18:04:30.505318
lfric_ppvar_2021060217-2021060218.nc,1314022020,1400.596,1140.339,2025-11-27 18:04:30.505318
lfric_ppvar_2021060218-2021060219.nc,1314022020,1354.269,1104.212,2025-11-27 18:04:30.505318
lfric_name_2021060215-2021060218.nc,862536694,1330.417,1071.498,2025-11-27 18:04:30.505318
lfric_ppvar_2021060219-2021060220.nc,1314022020,1448.384,1163.666,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1615.289,1278.159,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,434.539,397.789,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,859.105,647.402,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,900.638,786.773,2025-11-27 18:04:30.505318
lfric_ppvar_2021060220-2021060221.nc,1314022020,1517.645,1213.408,2025-11-27 18:04:30.505318
lfric_ppvar_2021060221-2021060222.nc,1314022020,1572.177,1245.547,2025-11-27 18:04:30.505318
lfric_name_2021060218-2021060221.nc,862536694,1067.936,878.422,2025-11-27 18:04:30.505318
lfric_ppvar_2021060222-2021060223.nc,1314022020,1636.53,1286.707,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1433.586,1107.943,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,451.02,411.658,2025-11-27 18:04:30.505318
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,597.194,501.11,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1251.569,1040.203,2025-11-27 18:04:30.505318
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,1115.921,926.399,2025-11-27 18:04:30.505318
lfric_ver_tp0.nc,303654013,583.506,504.71,2025-11-27 18:04:30.505318
lfric_ver.nc,1137088784,486.55,444.571,2025-11-27 18:04:30.505318
lfric_name_2021060221-2021060300.nc,862536694,1516.486,1134.172,2025-11-27 18:04:30.505318
lfric_ppvar_2021060223-2021060300.nc,1314022020,1454.062,1158.597,2025-11-27 18:04:30.505318
lfric_ppscreen.nc,1394639367,1272.287,944.435,2025-11-27 18:04:30.505318
lfric_bg_for_hofx.nc,37779248424,1110.326,936.326,2025-11-27 18:04:30.505318
lfric_bg_for_land_hofx.nc,60337359,172.442,155.842,2025-11-27 18:04:30.505318
lfric_initial.nc,886433697,1587.632,1149.178,2025-11-27 18:04:30.505318
lfric_ppvar_2021060200-2021060201.nc,1314022020,1304.312,1027.988,2025-11-27 18:13:40.517373
lfric_ppvar_2021060201-2021060202.nc,1314022020,1224.629,981.84,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,414.658,364.204,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,695.142,549.678,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1201.935,942.988,2025-11-27 18:13:40.517373
lfric_ppvar_2021060202-2021060203.nc,1314022020,1278.871,994.031,2025-11-27 18:13:40.517373
lfric_ppvar_2021060203-2021060204.nc,1314022020,1254.481,1013.322,2025-11-27 18:13:40.517373
lfric_name_2021060200-2021060203.nc,862536694,1099.894,857.492,2025-11-27 18:13:40.517373
lfric_ppvar_2021060204-2021060205.nc,1314022020,1290.389,1034.161,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1328.654,1037.057,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,390.401,352.396,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,258.348,234.762,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1192.97,964.752,2025-11-27 18:13:40.517373
lfric_ppvar_2021060205-2021060206.nc,1314022020,1253.3,997.882,2025-11-27 18:13:40.517373
lfric_ppvar_2021060206-2021060207.nc,1314022020,1026.01,850.906,2025-11-27 18:13:40.517373
lfric_name_2021060203-2021060206.nc,862536694,1055.569,826.124,2025-11-27 18:13:40.517373
lfric_ppvar_2021060207-2021060208.nc,1314022020,1017.654,844.623,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1297.506,1022.214,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,398.333,360.484,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,860.197,660.513,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1083.049,884.302,2025-11-27 18:13:40.517373
lfric_ppvar_2021060208-2021060209.nc,1314022020,1086.38,888.252,2025-11-27 18:13:40.517373
lfric_ppvar_2021060209-2021060210.nc,1314022020,1420.454,1109.765,2025-11-27 18:13:40.517373
lfric_name_2021060206-2021060209.nc,862536694,994.231,786.639,2025-11-27 18:13:40.517373
lfric_ppvar_2021060210-2021060211.nc,1314022020,1258.527,1004.742,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1194.082,957.013,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,386.087,352.161,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1002.303,735.737,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1160.82,949.104,2025-11-27 18:13:40.517373
lfric_ppvar_2021060211-2021060212.nc,1314022020,1256.233,1005.025,2025-11-27 18:13:40.517373
lfric_ppvar_2021060212-2021060213.nc,1314022020,1351.063,1067.914,2025-11-27 18:13:40.517373
lfric_name_2021060209-2021060212.nc,862536694,1009.888,833.574,2025-11-27 18:13:40.517373
lfric_ppvar_2021060213-2021060214.nc,1314022020,1534.935,1175.82,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1147.527,927.137,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,364.64,333.787,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1223.289,847.751,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1124.439,924.55,2025-11-27 18:13:40.517373
lfric_ppvar_2021060214-2021060215.nc,1314022020,1564.396,1192.771,2025-11-27 18:13:40.517373
lfric_ppvar_2021060215-2021060216.nc,1314022020,1250.928,1003.677,2025-11-27 18:13:40.517373
lfric_name_2021060212-2021060215.nc,862536694,986.244,815.171,2025-11-27 18:13:40.517373
lfric_ppvar_2021060216-2021060217.nc,1314022020,1343.603,1058.992,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1198.321,909.815,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,370.525,339.008,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1209.488,846.389,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1117.35,919.317,2025-11-27 18:13:40.517373
lfric_ppvar_2021060217-2021060218.nc,1314022020,1349.151,1063.305,2025-11-27 18:13:40.517373
lfric_ppvar_2021060218-2021060219.nc,1314022020,1434.975,1116.368,2025-11-27 18:13:40.517373
lfric_name_2021060215-2021060218.nc,862536694,1000.034,826.089,2025-11-27 18:13:40.517373
lfric_ppvar_2021060219-2021060220.nc,1314022020,1313.077,1042.302,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1207.604,923.87,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,382.545,349.297,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,1054.651,767.72,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,1154.581,943.581,2025-11-27 18:13:40.517373
lfric_ppvar_2021060220-2021060221.nc,1314022020,1329.593,1051.177,2025-11-27 18:13:40.517373
lfric_ppvar_2021060221-2021060222.nc,1314022020,1216.935,981.708,2025-11-27 18:13:40.517373
lfric_name_2021060218-2021060221.nc,862536694,1103.368,888.324,2025-11-27 18:13:40.517373
lfric_ppvar_2021060222-2021060223.nc,1314022020,1284.242,1023.944,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1381.86,1038.996,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,393.915,358.47,2025-11-27 18:13:40.517373
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,491.472,416.599,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1214.828,985.715,2025-11-27 18:13:40.517373
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,911.822,764.004,2025-11-27 18:13:40.517373
lfric_ver_tp0.nc,303654013,912.571,711.099,2025-11-27 18:13:40.517373
lfric_ver.nc,1137088784,510.994,453.195,2025-11-27 18:13:40.517373
lfric_name_2021060221-2021060300.nc,862536694,1183.227,944.699,2025-11-27 18:13:40.517373
lfric_ppvar_2021060223-2021060300.nc,1314022020,1403.222,1097.339,2025-11-27 18:13:40.517373
lfric_ppscreen.nc,1394639367,1025.571,829.072,2025-11-27 18:13:40.517373
lfric_bg_for_hofx.nc,37779248424,998.851,834.054,2025-11-27 18:13:40.517373
lfric_bg_for_land_hofx.nc,60337359,432.268,354.233,2025-11-27 18:13:40.517373
lfric_initial.nc,886433697,1285.995,944.76,2025-11-27 18:13:40.517373
lfric_ppvar_2021060200-2021060201.nc,1314022020,1532.866,1219.609,2025-11-27 18:22:30.210320
lfric_ppvar_2021060201-2021060202.nc,1314022020,1438.956,1162.12,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,451.122,400.893,2025-11-27 18:22:30.210320
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1857.233,1184.759,2025-11-27 18:22:30.210320
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1371.318,1088.453,2025-11-27 18:22:30.210320
