filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,1726.036,999.717,41,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060201-2021060202.nc,1314022052,3328.795,2275.952,41,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,1237.178,653.391,330,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,3967.587,1701.288,57,2,2025-12-11 21:49:49.663907
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,1729.303,1431.908,103,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060202-2021060203.nc,1314022052,1392.743,786.568,41,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060203-2021060204.nc,1314022052,1063.871,590.673,41,2,2025-12-11 21:49:49.663907
lfric_name_2021060200-2021060203.nc,862536750,3708.465,2467.772,59,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060204-2021060205.nc,1314022052,3404.615,2457.655,41,2,2025-12-11 21:49:49.663907
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,379.611,235.92,29,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,1039.746,555.403,330,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,3852.447,1736.612,57,2,2025-12-11 21:49:49.663907
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,1637.131,1376.353,103,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060205-2021060206.nc,1314022052,3334.742,637.556,41,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060206-2021060207.nc,1314022052,2603.475,1713.952,41,2,2025-12-11 21:49:49.663907
lfric_name_2021060203-2021060206.nc,862536750,3497.879,2357.01,59,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060207-2021060208.nc,1314022052,3285.077,2443.837,41,2,2025-12-11 21:49:49.663907
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,3327.939,2350.599,29,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,2253.105,1300.027,330,2,2025-12-11 21:49:49.663907
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3523.418,1605.502,57,2,2025-12-11 21:49:49.663907
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,2370.105,1529.803,103,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060208-2021060209.nc,1314022052,1329.937,749.285,41,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060209-2021060210.nc,1314022052,3423.389,2515.134,41,2,2025-12-11 21:49:49.663907
lfric_name_2021060206-2021060209.nc,862536750,3364.828,2171.445,59,2,2025-12-11 21:49:49.663907
lfric_ppvar_2021060210-2021060211.nc,1314022052,2757.813,1808.93,41,2,2025-12-11 21:49:49.663907
