filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,2959.5,2175.747,41,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060201-2021060202.nc,1314022052,2708.737,1995.636,41,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,790.949,415.905,330,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,2811.139,1235.897,57,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,2756.228,1991.661,103,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060202-2021060203.nc,1314022052,3358.142,2399.914,41,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060203-2021060204.nc,1314022052,3560.533,2683.848,41,2,2025-12-10 15:13:46.998526
lfric_name_2021060200-2021060203.nc,862536750,2705.367,1746.619,59,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060204-2021060205.nc,1314022052,3638.965,2742.186,41,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,2792.827,1917.252,29,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,1996.953,1170.677,330,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,3494.018,1639.53,57,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,3463.744,2594.476,103,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060205-2021060206.nc,1314022052,2775.958,2017.368,41,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060206-2021060207.nc,1314022052,2838.523,2111.418,41,2,2025-12-10 15:13:46.998526
lfric_name_2021060203-2021060206.nc,862536750,2838.523,2111.418,59,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060207-2021060208.nc,1314022052,3596.069,2777.735,41,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,2670.437,1810.432,29,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,1948.198,1133.394,330,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3098.848,1211.503,57,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,2880.921,2189.719,103,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060208-2021060209.nc,1314022052,3616.582,2717.94,41,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060209-2021060210.nc,1314022052,2771.43,2038.634,41,2,2025-12-10 15:13:46.998526
lfric_name_2021060206-2021060209.nc,862536750,2979.964,2077.959,59,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060210-2021060211.nc,1314022052,2884.926,2184.524,41,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,2671.06,1780.472,29,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,1875.097,1061.393,330,2,2025-12-10 15:13:46.998526
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,3888.956,1740.501,57,2,2025-12-10 15:13:46.998526
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,114693380,2787.896,2125.146,57,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060211-2021060212.nc,1314022052,3313.317,2389.551,41,2,2025-12-10 15:13:46.998526
lfric_ppvar_2021060212-2021060213.nc,1314022052,3569.459,2735.916,41,2,2025-12-10 15:13:46.998526
