filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,9610.758,4457.397,41,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060201-2021060202.nc,1314022052,9468.102,4411.412,41,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,9222.386,2171.013,330,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,9443.615,1383.03,57,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,5587.204,1560.809,103,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060202-2021060203.nc,1314022052,9328.721,4164.133,41,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060203-2021060204.nc,1314022052,9399.135,4406.546,41,8,2025-12-11 17:31:49.574205
lfric_name_2021060200-2021060203.nc,862536750,9433.442,3420.054,59,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060204-2021060205.nc,1314022052,9421.261,4477.634,41,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,3635.916,609.798,29,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,8987.895,2312.87,330,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,10750.335,1620.416,57,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,6357.618,1749.435,103,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060205-2021060206.nc,1314022052,9445.275,4448.358,41,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060206-2021060207.nc,1314022052,9604.336,4739.692,41,8,2025-12-11 17:31:49.574205
lfric_name_2021060203-2021060206.nc,862536750,9575.664,3703.376,59,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060207-2021060208.nc,1314022052,9254.377,4386.753,41,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,9819.622,4201.033,29,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,9132.493,2223.987,330,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,9457.007,1366.893,57,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,8940.922,4653.641,103,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060208-2021060209.nc,1314022052,9550.424,4497.054,41,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060209-2021060210.nc,1314022052,7464.623,2266.072,41,8,2025-12-11 17:31:49.574205
lfric_name_2021060206-2021060209.nc,862536750,9484.717,3602.249,59,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060210-2021060211.nc,1314022052,9693.355,4942.56,41,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,2991.252,488.427,29,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,9062.637,2282.63,330,8,2025-12-11 17:31:49.574205
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,7549.609,1225.917,57,8,2025-12-11 17:31:49.574205
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,4407.991,898.411,103,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060211-2021060212.nc,1314022052,9469.745,4731.736,41,8,2025-12-11 17:31:49.574205
lfric_ppvar_2021060212-2021060213.nc,1314022052,9590.656,4968.558,41,8,2025-12-11 17:31:49.574205
lfric_name_2021060209-2021060212.nc,862536750,9887.995,4403.374,59,8,2025-12-11 17:31:49.574205
