filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,2988.113,2095.846,41,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060201-2021060202.nc,1314022052,2986.147,2133.466,41,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,3577.538,2022.47,330,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,3024.262,1288.672,57,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,2327.033,1526.167,103,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060202-2021060203.nc,1314022052,1611.259,934.163,41,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060203-2021060204.nc,1314022052,3543.814,2576.915,41,2,2025-12-11 17:31:49.841672
lfric_name_2021060200-2021060203.nc,862536750,3212.345,2223.991,59,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060204-2021060205.nc,1314022052,3278.161,2483.905,41,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,3144.769,2165.311,29,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,3315.37,1965.669,330,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,3644.255,1573.833,57,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,2558.712,1756.784,103,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060205-2021060206.nc,1314022052,2501.238,1562.018,41,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060206-2021060207.nc,1314022052,3041.036,2153.012,41,2,2025-12-11 17:31:49.841672
lfric_name_2021060203-2021060206.nc,862536750,3447.201,2317.078,59,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060207-2021060208.nc,1314022052,3749.08,2613.287,41,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,3486.168,2292.992,29,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,4090.065,2344.73,330,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3810.791,1517.31,57,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,3336.388,2298.664,103,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060208-2021060209.nc,1314022052,3491.547,2432.867,41,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060209-2021060210.nc,1314022052,3161.683,2166.821,41,2,2025-12-11 17:31:49.841672
lfric_name_2021060206-2021060209.nc,862536750,3277.704,2070.509,59,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060210-2021060211.nc,1314022052,3316.817,2529.453,41,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,3259.855,2051.696,29,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,2251.904,1241.821,330,2,2025-12-11 17:31:49.841672
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,3228.618,1387.686,57,2,2025-12-11 17:31:49.841672
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,2220.112,1442.398,103,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060211-2021060212.nc,1314022052,3031.987,2189.686,41,2,2025-12-11 17:31:49.841672
lfric_ppvar_2021060212-2021060213.nc,1314022052,3855.148,2966.675,41,2,2025-12-11 17:31:49.841672
