filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,12915.733,6579.902,41,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060201-2021060202.nc,1314022052,12317.732,6273.322,41,8,2025-12-11 10:24:22.993268
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,11870.177,2788.482,330,8,2025-12-11 10:24:22.993268
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,12985.298,1695.053,57,8,2025-12-11 10:24:22.993268
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,11290.435,5850.659,103,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060202-2021060203.nc,1314022052,12367.144,6357.105,41,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060203-2021060204.nc,1314022052,5384.725,2384.836,41,8,2025-12-11 10:24:22.993268
lfric_name_2021060200-2021060203.nc,862536750,12423.194,5150.178,59,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060204-2021060205.nc,1314022052,12736.912,7283.603,41,8,2025-12-11 10:24:22.993268
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,13365.502,6151.141,29,8,2025-12-11 10:24:22.993268
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,11540.706,2934.08,330,8,2025-12-11 10:24:22.993268
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,11352.452,1791.761,57,8,2025-12-11 10:24:22.993268
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,11122.741,6280.945,103,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060205-2021060206.nc,1314022052,12892.757,7533.074,41,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060206-2021060207.nc,1314022052,12383.302,6833.218,41,8,2025-12-11 10:24:22.993268
lfric_name_2021060203-2021060206.nc,862536750,12971.781,5844.93,59,8,2025-12-11 10:24:22.993268
lfric_ppvar_2021060207-2021060208.nc,1314022052,12764.228,7833.681,41,8,2025-12-11 10:24:22.993268
