filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,3174.653,2358.035,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060201-2021060202.nc,1314022052,3009.207,2132.161,41,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,3074.85,1729.822,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,3987.902,1669.065,57,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,3702.026,2645.959,103,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060202-2021060203.nc,1314022052,3811.696,2652.054,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060203-2021060204.nc,1314022052,3985.905,3064.722,41,2,2025-12-03 09:58:10.725557
lfric_name_2021060200-2021060203.nc,862536750,3237.726,2247.061,59,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060204-2021060205.nc,1314022052,3778.46,2702.581,41,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,3975.812,2830.401,29,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,2509.976,1434.42,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,3808.53,1686.104,57,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,3823.728,2764.208,103,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060205-2021060206.nc,1314022052,3988.399,3075.423,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060206-2021060207.nc,1314022052,3062.373,2179.859,41,2,2025-12-03 09:58:10.725557
lfric_name_2021060203-2021060206.nc,862536750,3800.368,2528.041,59,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060207-2021060208.nc,1314022052,3977.248,3087.729,41,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,3783.737,2564.424,29,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,3199.091,1939.032,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3750.155,1489.129,57,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,3202.301,2502.929,103,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060208-2021060209.nc,1314022052,3194.66,2368.868,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060209-2021060210.nc,1314022052,3737.017,2699.06,41,2,2025-12-03 09:58:10.725557
lfric_name_2021060206-2021060209.nc,862536750,3028.233,2036.833,59,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060210-2021060211.nc,1314022052,3717.502,2676.105,41,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,3717.502,2676.105,29,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,3162.157,1852.151,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,3707.3,1497.381,57,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,3880.573,3048.862,103,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060211-2021060212.nc,1314022052,3010.885,2168.412,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060212-2021060213.nc,1314022052,3008.522,2149.751,41,2,2025-12-03 09:58:10.725557
lfric_name_2021060209-2021060212.nc,862536750,3134.867,2225.593,59,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060213-2021060214.nc,1314022052,3744.213,2715.367,41,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964613,3166.916,2261.933,29,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,3023.231,1782.798,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,3087.442,1184.941,57,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016657,3850.126,3037.941,103,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060214-2021060215.nc,1314022052,3036.082,2221.152,41,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060215-2021060216.nc,1314022052,3122.913,2407.676,41,2,2025-12-03 09:58:10.725557
lfric_name_2021060212-2021060215.nc,862536750,3157.673,2310.342,59,2,2025-12-03 09:58:10.725557
lfric_ppvar_2021060216-2021060217.nc,1314022052,3899.323,3018.501,41,2,2025-12-03 09:58:10.725557
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,3833.985,2778.75,29,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424722,3002.21,1777.207,330,2,2025-12-03 09:58:10.725557
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,3778.176,1642.946,57,2,2025-12-03 09:58:10.725557
