filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,1630.547,1346.533,41,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060201-2021060202.nc,1314022052,1846.462,1553.134,41,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,1926.621,1439.974,330,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,1665.976,1088.621,57,1,2025-12-15 10:30:26.840393
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,1890.932,1588.391,103,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060202-2021060203.nc,1314022052,1851.127,1550.351,41,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060203-2021060204.nc,1314022052,1600.881,1331.346,41,1,2025-12-15 10:30:26.840393
lfric_name_2021060200-2021060203.nc,862536750,1700.833,1365.578,59,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060204-2021060205.nc,1314022052,1769.037,1488.726,41,1,2025-12-15 10:30:26.840393
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,1626.469,1325.149,29,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,1812.527,1400.773,330,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,1745.83,1152.019,57,1,2025-12-15 10:30:26.840393
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,1894.941,1608.202,103,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060205-2021060206.nc,1314022052,1913.767,1607.265,41,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060206-2021060207.nc,1314022052,1810.723,1531.18,41,1,2025-12-15 10:30:26.840393
lfric_name_2021060203-2021060206.nc,862536750,1594.227,1265.574,59,1,2025-12-15 10:30:26.840393
lfric_ppvar_2021060207-2021060208.nc,1314022052,1825.839,1552.539,41,1,2025-12-15 10:30:26.840393
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,1589.669,1327.921,29,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,1835.329,1401.169,330,1,2025-12-15 10:30:26.840393
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,1728.651,1114.452,57,1,2025-12-15 10:30:26.840393
