filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,10171.926,5770.631,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060201-2021060202.nc,1314022052,10070.146,5736.012,41,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,9855.345,2468.411,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,10707.582,1411.366,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,6394.222,1767.2,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060202-2021060203.nc,1314022052,9725.37,5282.635,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060203-2021060204.nc,1314022052,9920.823,6347.682,41,8,2025-12-11 17:36:00.118107
lfric_name_2021060200-2021060203.nc,862536750,10515.671,4848.588,59,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060204-2021060205.nc,1314022052,9447.499,5542.299,41,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,9099.321,4397.927,29,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,6372.41,1222.473,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,11098.183,1759.044,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,7035.07,2445.554,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060205-2021060206.nc,1314022052,9168.925,4661.778,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060206-2021060207.nc,1314022052,7017.569,3705.846,41,8,2025-12-11 17:36:00.118107
lfric_name_2021060203-2021060206.nc,862536750,9360.495,4248.037,59,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060207-2021060208.nc,1314022052,9776.12,6169.197,41,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,9975.919,5142.265,29,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,5302.2,950.275,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,12100.258,1694.756,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,7097.816,2651.719,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060208-2021060209.nc,1314022052,8819.992,4538.328,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060209-2021060210.nc,1314022052,9607.9,5452.629,41,8,2025-12-11 17:36:00.118107
lfric_name_2021060206-2021060209.nc,862536750,9475.729,3798.585,59,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060210-2021060211.nc,1314022052,8964.865,4418.427,41,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,10099.371,4956.265,29,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,5297.878,925.181,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,11900.81,1976.752,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,7568.627,2852.486,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060211-2021060212.nc,1314022052,9938.737,5878.636,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060212-2021060213.nc,1314022052,9649.726,5748.265,41,8,2025-12-11 17:36:00.118107
lfric_name_2021060209-2021060212.nc,862536750,9302.714,4127.815,59,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060213-2021060214.nc,1314022052,9901.88,5600.462,41,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964613,10037.476,5019.168,29,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,5190.039,890.386,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,10383.231,1397.313,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016657,6821.078,2249.454,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060214-2021060215.nc,1314022052,9306.337,5593.713,41,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060215-2021060216.nc,1314022052,7701.475,2579.781,41,8,2025-12-11 17:36:00.118107
lfric_name_2021060212-2021060215.nc,862536750,9942.524,5059.149,59,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060216-2021060217.nc,1314022052,9807.991,5564.489,41,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,9770.245,4354.463,29,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424722,4076.601,640.946,330,8,2025-12-11 17:36:00.118107
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,13236.812,2064.392,57,8,2025-12-11 17:36:00.118107
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016657,7085.432,2227.429,103,8,2025-12-11 17:36:00.118107
lfric_ppvar_2021060217-2021060218.nc,1314022052,10353.315,5061.444,41,8,2025-12-11 17:36:00.118107
