filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,3289.132,1218.766,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060201-2021060202.nc,1314022052,3048.869,1114.837,41,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,1083.518,293.636,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,5224.164,1506.429,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,4490.865,2197.257,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060202-2021060203.nc,1314022052,5937.229,3796.03,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060203-2021060204.nc,1314022052,4748.961,2443.65,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060200-2021060203.nc,862536750,5361.13,2758.567,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060204-2021060205.nc,1314022052,5966.511,3954.133,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,5959.655,3400.409,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,1854.367,541.046,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,6812.893,1862.318,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,5467.274,3438.094,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060205-2021060206.nc,1314022052,5419.464,3612.298,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060206-2021060207.nc,1314022052,5534.923,3611.803,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060203-2021060206.nc,862536750,5566.896,3205.216,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060207-2021060208.nc,1314022052,5596.515,3578.439,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,4950.072,2494.123,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,3845.832,1311.857,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,6480.774,1661.451,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,5398.771,3467.747,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060208-2021060209.nc,1314022052,3230.559,1263.584,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060209-2021060210.nc,1314022052,6565.572,4098.552,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060206-2021060209.nc,862536750,3196.931,1104.95,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060210-2021060211.nc,1314022052,6259.379,4161.336,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,6951.396,4016.727,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,3931.796,1416.461,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,7038.382,1819.393,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,3399.625,1324.228,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060211-2021060212.nc,1314022052,5481.536,3457.647,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060212-2021060213.nc,1314022052,5541.175,3635.017,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060209-2021060212.nc,862536750,5727.29,3298.615,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060213-2021060214.nc,1314022052,5922.009,4096.331,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964613,6053.91,3760.187,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,4298.213,1596.564,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,4557.161,1237.232,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016657,4037.299,1826.916,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060214-2021060215.nc,1314022052,3745.734,1645.675,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060215-2021060216.nc,1314022052,5711.174,3869.564,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060212-2021060215.nc,862536750,5911.221,3375.977,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060216-2021060217.nc,1314022052,5649.015,3700.271,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,5043.541,2605.358,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424722,3500.029,1191.056,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,5938.169,1663.244,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016657,3298.195,1312.074,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060217-2021060218.nc,1314022052,5678.266,3988.091,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060218-2021060219.nc,1314022052,5267.145,3537.812,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060215-2021060218.nc,862536750,1559.828,464.31,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060219-2021060220.nc,1314022052,4992.54,3306.119,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964613,6405.505,4060.938,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424722,3980.844,1486.832,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693380,5914.909,1520.641,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016657,3489.252,1519.659,103,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060220-2021060221.nc,1314022052,2912.882,1124.897,41,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060221-2021060222.nc,1314022052,3971.322,1862.659,41,4,2025-12-11 17:37:54.431465
lfric_name_2021060218-2021060221.nc,862536750,5380.149,3213.494,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060222-2021060223.nc,1314022052,5275.25,3278.955,41,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964613,5266.455,2741.541,29,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424722,3909.279,1442.146,330,4,2025-12-11 17:37:54.431465
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693380,5903.715,1685.663,57,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016657,4084.065,1948.516,103,4,2025-12-11 17:37:54.431465
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964613,5652.226,3518.272,29,4,2025-12-11 17:37:54.431465
lfric_ver_tp0.nc,303654045,6237.088,2828.368,46,4,2025-12-11 17:37:54.431465
lfric_ver.nc,1137088816,4994.089,2248.316,167,4,2025-12-11 17:37:54.431465
lfric_name_2021060221-2021060300.nc,862536750,4127.9,2164.227,59,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060223-2021060300.nc,1314022052,5026.055,3423.918,41,4,2025-12-11 17:37:54.431465
lfric_ppscreen.nc,1394639399,6022.175,3871.688,41,4,2025-12-11 17:37:54.431465
lfric_bg_for_hofx.nc,37779248424,2940.074,1120.325,957,4,2025-12-11 17:37:54.431465
lfric_bg_for_land_hofx.nc,60337359,6860.78,1374.382,41,4,2025-12-11 17:37:54.431465
lfric_initial.nc,886433697,5333.073,2616.174,29,4,2025-12-11 17:37:54.431465
lfric_ppvar_2021060200-2021060201.nc,1314022052,4740.496,2946.543,41,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060201-2021060202.nc,1314022052,4435.629,2842.395,41,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,2210.354,677.561,330,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,5300.176,1388.272,57,4,2025-12-11 17:46:35.862752
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,3874.642,1902.03,103,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060202-2021060203.nc,1314022052,5038.007,3257.176,41,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060203-2021060204.nc,1314022052,5509.887,3470.934,41,4,2025-12-11 17:46:35.862752
lfric_name_2021060200-2021060203.nc,862536750,4658.421,2363.535,59,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060204-2021060205.nc,1314022052,4442.264,3031.835,41,4,2025-12-11 17:46:35.862752
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,5904.475,3536.836,29,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,1340.656,388.386,330,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,4777.783,1354.272,57,4,2025-12-11 17:46:35.862752
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,3907.124,1977.525,103,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060205-2021060206.nc,1314022052,4671.039,3180.465,41,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060206-2021060207.nc,1314022052,4470.698,2874.408,41,4,2025-12-11 17:46:35.862752
lfric_name_2021060203-2021060206.nc,862536750,4955.812,2863.742,59,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060207-2021060208.nc,1314022052,4968.682,3289.632,41,4,2025-12-11 17:46:35.862752
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,4693.996,2692.051,29,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,2018.553,613.131,330,4,2025-12-11 17:46:35.862752
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,5492.611,1351.854,57,4,2025-12-11 17:46:35.862752
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,4734.05,3052.263,103,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060208-2021060209.nc,1314022052,4983.176,3020.499,41,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060209-2021060210.nc,1314022052,2303.237,869.781,41,4,2025-12-11 17:46:35.862752
lfric_name_2021060206-2021060209.nc,862536750,1662.551,507.816,59,4,2025-12-11 17:46:35.862752
lfric_ppvar_2021060210-2021060211.nc,1314022052,4583.577,2994.905,41,4,2025-12-11 17:46:35.862752
