filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022052,3137.841,2307.87,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060201-2021060202.nc,1314022052,3750.926,2669.741,41,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,3199.201,1870.877,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,3923.67,1658.98,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,3734.933,2672.777,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060202-2021060203.nc,1314022052,2994.403,2097.335,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060203-2021060204.nc,1314022052,3167.186,2418.128,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060200-2021060203.nc,862536750,3205.453,2191.438,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060204-2021060205.nc,1314022052,3956.091,3031.838,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,3886.543,2729.237,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,3037.092,1779.476,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,2992.015,1232.835,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,3019.204,2203.235,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060205-2021060206.nc,1314022052,3836.221,2745.862,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060206-2021060207.nc,1314022052,2979.119,2137.864,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060203-2021060206.nc,862536750,3968.204,2755.425,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060207-2021060208.nc,1314022052,3025.354,2176.035,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,3025.354,2176.035,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,3809.218,2219.548,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3777.591,1562.313,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,3904.887,3041.875,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060208-2021060209.nc,1314022052,2964.461,2058.279,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060209-2021060210.nc,1314022052,3095.634,2355.702,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060206-2021060209.nc,862536750,3151.371,2192.14,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060210-2021060211.nc,1314022052,3852.351,2965.009,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,3954.587,2795.918,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,3098.847,1866.604,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,2927.688,1275.354,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,2943.029,2152.26,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060211-2021060212.nc,1314022052,3892.468,2997.808,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060212-2021060213.nc,1314022052,3819.524,2934.396,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060209-2021060212.nc,862536750,3682.654,2541.293,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060213-2021060214.nc,1314022052,3860.41,2989.69,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964613,3860.41,2989.69,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,3831.63,2336.974,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,2903.285,1160.665,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,114693380,3624.864,2673.513,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060214-2021060215.nc,1314022052,3862.714,2965.128,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060215-2021060216.nc,1314022052,3017.811,2317.707,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060212-2021060215.nc,862536750,3609.342,2479.813,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060216-2021060217.nc,1314022052,3826.206,2958.843,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,3575.257,2338.681,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424722,2994.193,1809.154,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,2714.028,1192.981,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016657,2918.453,2164.833,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060217-2021060218.nc,1314022052,3810.581,2890.64,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060218-2021060219.nc,1314022052,3788.027,2928.812,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060215-2021060218.nc,862536750,2887.826,1950.862,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060219-2021060220.nc,1314022052,3073.511,2382.297,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964613,3073.511,2382.297,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424722,3399.816,1963.727,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693380,3641.92,1467.679,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016657,2896.588,2153.583,103,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060220-2021060221.nc,1314022052,3789.613,2934.193,41,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060221-2021060222.nc,1314022052,2909.617,2095.838,41,2,2025-12-10 15:14:28.492574
lfric_name_2021060218-2021060221.nc,862536750,3650.022,2516.553,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060222-2021060223.nc,1314022052,3058.34,2347.662,41,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964613,3603.578,2495.462,29,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424722,3822.299,2275.952,330,2,2025-12-10 15:14:28.492574
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693380,2892.849,1324.246,57,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016657,2169.692,1465.915,103,2,2025-12-10 15:14:28.492574
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964613,3672.373,2456.889,29,2,2025-12-10 15:14:28.492574
lfric_ver_tp0.nc,303654045,3099.46,1739.276,46,2,2025-12-10 15:14:28.492574
lfric_ver.nc,1137088816,3099.46,1739.276,167,2,2025-12-10 15:14:28.492574
lfric_name_2021060221-2021060300.nc,862536750,2985.333,2082.131,59,2,2025-12-10 15:14:28.492574
lfric_ppvar_2021060223-2021060300.nc,1314022052,3833.041,2916.486,41,2,2025-12-10 15:14:28.492574
lfric_ppscreen.nc,1394639399,3743.937,2615.131,41,2,2025-12-10 15:14:28.492574
lfric_bg_for_hofx.nc,37779248424,1478.438,1258.731,957,1,2025-12-10 15:14:28.492574
lfric_bg_for_land_hofx.nc,60337359,1507.557,775.943,41,1,2025-12-10 15:14:28.492574
lfric_initial.nc,886433697,1539.08,1268.483,29,1,2025-12-10 15:14:28.492574
lfric_ppvar_2021060200-2021060201.nc,1314022052,2976.556,2073.065,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060201-2021060202.nc,1314022052,2959.644,2101.052,41,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424722,3016.827,1706.033,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693380,3060.963,1181.725,57,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016657,2915.874,2083.367,103,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060202-2021060203.nc,1314022052,3173.28,2336.762,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060203-2021060204.nc,1314022052,3167.774,2426.028,41,2,2025-12-10 15:21:20.358884
lfric_name_2021060200-2021060203.nc,862536750,2916.203,1953.1,59,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060204-2021060205.nc,1314022052,2885.695,2044.295,41,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964613,2992.927,2031.524,29,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424722,2986.402,1770.222,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693380,3131.696,1341.006,57,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016657,2913.206,2123.955,103,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060205-2021060206.nc,1314022052,3167.252,2396.869,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060206-2021060207.nc,1314022052,2875.662,2081.603,41,2,2025-12-10 15:21:20.358884
lfric_name_2021060203-2021060206.nc,862536750,2979.822,1947.378,59,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060207-2021060208.nc,1314022052,2928.508,2137.376,41,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964613,2943.043,2001.661,29,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424722,2932.65,1756.294,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693380,3095.652,1298.73,57,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016657,3133.63,2427.695,103,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060208-2021060209.nc,1314022052,3085.153,2308.032,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060209-2021060210.nc,1314022052,2928.411,2122.288,41,2,2025-12-10 15:21:20.358884
lfric_name_2021060206-2021060209.nc,862536750,2908.332,1954.879,59,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060210-2021060211.nc,1314022052,3141.549,2409.232,41,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964613,2794.409,1892.358,29,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424722,2943.71,1739.932,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693380,3041.06,1315.587,57,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016657,3098.024,2429.609,103,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060211-2021060212.nc,1314022052,2838.196,2024.428,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060212-2021060213.nc,1314022052,2838.196,2024.428,41,2,2025-12-10 15:21:20.358884
lfric_name_2021060209-2021060212.nc,862536750,3104.612,2220.804,59,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060213-2021060214.nc,1314022052,2710.423,2016.717,41,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,1314022052,2961.997,2120.698,29,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424722,2862.235,1696.242,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693380,2994.335,1172.03,57,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016657,2700.119,2023.146,103,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060214-2021060215.nc,1314022052,2538.7,1845.163,41,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060215-2021060216.nc,1314022052,2492.81,1818.174,41,2,2025-12-10 15:21:20.358884
lfric_name_2021060212-2021060215.nc,862536750,2820.138,2010.347,59,2,2025-12-10 15:21:20.358884
lfric_ppvar_2021060216-2021060217.nc,1314022052,2739.404,2023.62,41,2,2025-12-10 15:21:20.358884
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964613,2590.63,1779.523,29,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,464964613,3125.328,1890.975,330,2,2025-12-10 15:21:20.358884
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693380,2839.961,1329.392,57,2,2025-12-10 15:21:20.358884
