filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1375.547,1114.511,2025-12-01 09:29:19.613229
lfric_ppvar_2021060201-2021060202.nc,1314022020,1742.642,1345.765,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,375.397,341.705,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1459.108,906.655,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1377.092,1090.723,2025-12-01 09:29:19.613229
lfric_ppvar_2021060202-2021060203.nc,1314022020,1405.11,1115.508,2025-12-01 09:29:19.613229
lfric_ppvar_2021060203-2021060204.nc,1314022020,1504.455,1206.881,2025-12-01 09:29:19.613229
lfric_name_2021060200-2021060203.nc,862536694,1264.064,1007.674,2025-12-01 09:29:19.613229
lfric_ppvar_2021060204-2021060205.nc,1314022020,1999.537,1501.941,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1378.178,1113.176,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,363.895,336.357,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1766.23,1153.764,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1500.746,1212.302,2025-12-01 09:29:19.613229
lfric_ppvar_2021060205-2021060206.nc,1314022020,1510.703,1190.599,2025-12-01 09:29:19.613229
lfric_ppvar_2021060206-2021060207.nc,1314022020,1472.354,1188.42,2025-12-01 09:29:19.613229
lfric_name_2021060203-2021060206.nc,862536694,1549.729,1185.614,2025-12-01 09:29:19.613229
lfric_ppvar_2021060207-2021060208.nc,1314022020,1569.225,1250.42,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1546.848,1246.842,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,407.836,376.65,2025-12-01 09:29:19.613229
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1401.008,999.458,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1293.525,1062.324,2025-12-01 09:29:19.613229
lfric_ppvar_2021060208-2021060209.nc,1314022020,1497.73,1203.277,2025-12-01 09:29:19.613229
lfric_ppvar_2021060209-2021060210.nc,1314022020,1439.037,1181.253,2025-12-01 09:29:19.613229
lfric_name_2021060206-2021060209.nc,862536694,1410.274,1080.814,2025-12-01 09:29:19.613229
lfric_ppvar_2021060210-2021060211.nc,1314022020,1582.226,1277.34,2025-12-01 09:29:19.613229
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1261.888,1039.718,2025-12-01 09:29:19.613229
