filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1279.969,901.458,2025-12-01 09:29:58.972460
lfric_ppvar_2021060201-2021060202.nc,1314022020,1412.874,966.466,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,1056.839,738.179,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,957.724,674.367,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1174.383,842.393,2025-12-01 09:29:58.972460
lfric_ppvar_2021060202-2021060203.nc,1314022020,1257.537,904.136,2025-12-01 09:29:58.972460
lfric_ppvar_2021060203-2021060204.nc,1314022020,1297.779,925.212,2025-12-01 09:29:58.972460
lfric_name_2021060200-2021060203.nc,862536694,748.822,630.749,2025-12-01 09:29:58.972460
lfric_ppvar_2021060204-2021060205.nc,1314022020,1258.239,890.988,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1453.012,1097.613,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,750.758,614.12,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1369.076,816.82,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1512.914,1154.829,2025-12-01 09:29:58.972460
lfric_ppvar_2021060205-2021060206.nc,1314022020,1301.321,930.014,2025-12-01 09:29:58.972460
lfric_ppvar_2021060206-2021060207.nc,1314022020,1591.612,1214.037,2025-12-01 09:29:58.972460
lfric_name_2021060203-2021060206.nc,862536694,1448.114,1053.387,2025-12-01 09:29:58.972460
lfric_ppvar_2021060207-2021060208.nc,1314022020,1228.208,901.092,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1312.376,929.142,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1458.396,1054.742,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,618.945,485.591,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1453.99,1136.912,2025-12-01 09:29:58.972460
lfric_ppvar_2021060208-2021060209.nc,1314022020,1753.372,1335.377,2025-12-01 09:29:58.972460
lfric_ppvar_2021060209-2021060210.nc,1314022020,1480.424,1152.504,2025-12-01 09:29:58.972460
lfric_name_2021060206-2021060209.nc,862536694,929.533,755.12,2025-12-01 09:29:58.972460
lfric_ppvar_2021060210-2021060211.nc,1314022020,1412.772,977.805,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1448.849,987.785,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,736.92,576.417,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1305.034,824.823,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1066.579,796.559,2025-12-01 09:29:58.972460
lfric_ppvar_2021060211-2021060212.nc,1314022020,1460.194,1133.372,2025-12-01 09:29:58.972460
lfric_ppvar_2021060212-2021060213.nc,1314022020,1814.273,1358.382,2025-12-01 09:29:58.972460
lfric_name_2021060209-2021060212.nc,862536694,1192.013,848.053,2025-12-01 09:29:58.972460
lfric_ppvar_2021060213-2021060214.nc,1314022020,1836.657,1367.881,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1249.01,854.335,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,781.844,602.214,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,962.214,665.478,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1518.557,1014.688,2025-12-01 09:29:58.972460
lfric_ppvar_2021060214-2021060215.nc,1314022020,1692.855,1284.051,2025-12-01 09:29:58.972460
lfric_ppvar_2021060215-2021060216.nc,1314022020,1489.945,1166.597,2025-12-01 09:29:58.972460
lfric_name_2021060212-2021060215.nc,862536694,970.329,728.738,2025-12-01 09:29:58.972460
lfric_ppvar_2021060216-2021060217.nc,1314022020,1376.742,954.301,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,971.843,666.299,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,662.818,535.142,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,999.008,669.646,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1426.348,972.525,2025-12-01 09:29:58.972460
lfric_ppvar_2021060217-2021060218.nc,1314022020,1734.547,1308.453,2025-12-01 09:29:58.972460
lfric_ppvar_2021060218-2021060219.nc,1314022020,1376.025,1083.29,2025-12-01 09:29:58.972460
lfric_name_2021060215-2021060218.nc,862536694,900.621,699.338,2025-12-01 09:29:58.972460
lfric_ppvar_2021060219-2021060220.nc,1314022020,1447.238,996.772,2025-12-01 09:29:58.972460
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1253.699,886.005,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,866.243,668.002,2025-12-01 09:29:58.972460
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,1169.57,785.465,2025-12-01 09:29:58.972460
