filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1780.077,1375.139,2025-11-27 18:03:47.552017
lfric_ppvar_2021060201-2021060202.nc,1314022020,1752.847,1361.296,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,561.246,490.537,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1777.457,1128.033,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1804.804,1350.812,2025-11-27 18:03:47.552017
lfric_ppvar_2021060202-2021060203.nc,1314022020,1953.529,1433.419,2025-11-27 18:03:47.552017
lfric_ppvar_2021060203-2021060204.nc,1314022020,1946.665,1472.741,2025-11-27 18:03:47.552017
lfric_name_2021060200-2021060203.nc,862536694,420.981,386.889,2025-11-27 18:03:47.552017
lfric_ppvar_2021060204-2021060205.nc,1314022020,1889.379,1442.407,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1870.864,1407.884,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1198.98,936.025,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1509.668,1011.618,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1997.079,1496.582,2025-11-27 18:03:47.552017
lfric_ppvar_2021060205-2021060206.nc,1314022020,2184.33,1601.019,2025-11-27 18:03:47.552017
lfric_ppvar_2021060206-2021060207.nc,1314022020,2238.518,1650.762,2025-11-27 18:03:47.552017
lfric_name_2021060203-2021060206.nc,862536694,2201.063,1499.289,2025-11-27 18:03:47.552017
lfric_ppvar_2021060207-2021060208.nc,1314022020,2003.201,1517.125,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1644.896,1226.47,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,2041.56,1425.716,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1984.771,1241.186,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1915.765,1456.794,2025-11-27 18:03:47.552017
lfric_ppvar_2021060208-2021060209.nc,1314022020,1987.765,1498.485,2025-11-27 18:03:47.552017
lfric_ppvar_2021060209-2021060210.nc,1314022020,1872.683,1435.824,2025-11-27 18:03:47.552017
lfric_name_2021060206-2021060209.nc,862536694,2079.743,1436.701,2025-11-27 18:03:47.552017
lfric_ppvar_2021060210-2021060211.nc,1314022020,1940.35,1477.359,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1912.897,1441.322,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1048.694,851.779,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1108.01,819.273,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1943.742,1492.794,2025-11-27 18:03:47.552017
lfric_ppvar_2021060211-2021060212.nc,1314022020,1936.124,1476.95,2025-11-27 18:03:47.552017
lfric_ppvar_2021060212-2021060213.nc,1314022020,1954.861,1488.166,2025-11-27 18:03:47.552017
lfric_name_2021060209-2021060212.nc,862536694,1102.4,920.195,2025-11-27 18:03:47.552017
lfric_ppvar_2021060213-2021060214.nc,1314022020,1941.035,1483.732,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,2000.783,1486.281,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,780.323,672.21,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,2044.442,1264.265,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1894.368,1465.19,2025-11-27 18:03:47.552017
lfric_ppvar_2021060214-2021060215.nc,1314022020,2011.868,1524.244,2025-11-27 18:03:47.552017
lfric_ppvar_2021060215-2021060216.nc,1314022020,1869.922,1442.179,2025-11-27 18:03:47.552017
lfric_name_2021060212-2021060215.nc,862536694,1870.341,1417.49,2025-11-27 18:03:47.552017
lfric_ppvar_2021060216-2021060217.nc,1314022020,1759.348,1376.791,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,2157.574,1571.683,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,1892.592,1371.575,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,889.435,588.853,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1922.276,1483.087,2025-11-27 18:03:47.552017
lfric_ppvar_2021060217-2021060218.nc,1314022020,1789.241,511.837,2025-11-27 18:03:47.552017
lfric_ppvar_2021060218-2021060219.nc,1314022020,1829.626,1427.16,2025-11-27 18:03:47.552017
lfric_name_2021060215-2021060218.nc,862536694,1789.431,1370.651,2025-11-27 18:03:47.552017
lfric_ppvar_2021060219-2021060220.nc,1314022020,1907.604,1475.16,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1652.408,1279.067,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,1211.899,970.676,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,839.495,665.063,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,1926.216,1498.923,2025-11-27 18:03:47.552017
lfric_ppvar_2021060220-2021060221.nc,1314022020,1807.264,1411.916,2025-11-27 18:03:47.552017
lfric_ppvar_2021060221-2021060222.nc,1314022020,2004.517,1536.317,2025-11-27 18:03:47.552017
lfric_name_2021060218-2021060221.nc,862536694,2066.824,1541.301,2025-11-27 18:03:47.552017
lfric_ppvar_2021060222-2021060223.nc,1314022020,1766.299,1397.334,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1705.789,1300.745,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,1121.635,906.3,2025-11-27 18:03:47.552017
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,2023.819,1255.379,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1935.578,1508.779,2025-11-27 18:03:47.552017
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,1988.52,1489.82,2025-11-27 18:03:47.552017
lfric_ver_tp0.nc,303654013,1805.653,1244.378,2025-11-27 18:03:47.552017
lfric_ver.nc,1137088784,707.336,618.111,2025-11-27 18:03:47.552017
lfric_name_2021060221-2021060300.nc,862536694,1912.924,1458.543,2025-11-27 18:03:47.552017
lfric_ppvar_2021060223-2021060300.nc,1314022020,1952.68,1506.573,2025-11-27 18:03:47.552017
lfric_ppscreen.nc,1394639367,1698.861,1286.667,2025-11-27 18:03:47.552017
lfric_bg_for_hofx.nc,37779248424,1851.473,1432.064,2025-11-27 18:03:47.552017
lfric_bg_for_land_hofx.nc,60337359,1734.072,1016.968,2025-11-27 18:03:47.552017
lfric_initial.nc,886433697,1704.368,1223.405,2025-11-27 18:03:47.552017
lfric_ppvar_2021060200-2021060201.nc,1314022020,483.955,289.013,2025-11-27 18:13:12.629931
lfric_ppvar_2021060201-2021060202.nc,1314022020,1706.905,1329.06,2025-11-27 18:13:12.629931
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,549.068,480.204,2025-11-27 18:13:12.629931
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1141.894,818.722,2025-11-27 18:13:12.629931
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1197.025,977.179,2025-11-27 18:13:12.629931
lfric_ppvar_2021060202-2021060203.nc,1314022020,1824.42,1360.047,2025-11-27 18:13:12.629931
lfric_ppvar_2021060203-2021060204.nc,1314022020,2070.885,1536.346,2025-11-27 18:13:12.629931
lfric_name_2021060200-2021060203.nc,862536694,1045.827,857.009,2025-11-27 18:13:12.629931
lfric_ppvar_2021060204-2021060205.nc,1314022020,1917.557,1453.985,2025-11-27 18:13:12.629931
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1727.317,1320.682,2025-11-27 18:13:12.629931
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1965.959,1341.463,2025-11-27 18:13:12.629931
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,970.192,732.311,2025-11-27 18:13:12.629931
