filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1421.265,1169.521,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060201-2021060202.nc,1314022020,1059.298,914.027,41,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,290.865,268.935,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1581.024,950.262,57,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1123.467,957.645,103,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060202-2021060203.nc,1314022020,1247.984,1022.222,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060203-2021060204.nc,1314022020,1096.747,906.793,41,1,2025-12-02 11:02:12.717038
lfric_name_2021060200-2021060203.nc,862536694,884.697,736.926,59,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060204-2021060205.nc,1314022020,1008.524,851.559,41,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1305.354,1046.713,29,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,319.905,294.633,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1529.773,877.218,57,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1030.989,877.105,103,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060205-2021060206.nc,1314022020,1001.125,840.223,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060206-2021060207.nc,1314022020,1298.336,1060.691,41,1,2025-12-02 11:02:12.717038
lfric_name_2021060203-2021060206.nc,862536694,986.503,799.505,59,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060207-2021060208.nc,1314022020,1041.154,892.629,41,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1014.304,831.485,29,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,312.286,289.52,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1649.266,987.962,57,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,907.178,788.396,103,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060208-2021060209.nc,1314022020,1144.588,955.608,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060209-2021060210.nc,1314022020,937.427,817.949,41,1,2025-12-02 11:02:12.717038
lfric_name_2021060206-2021060209.nc,862536694,911.333,754.754,59,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060210-2021060211.nc,1314022020,1230.208,1032.707,41,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1037.214,871.502,29,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,312.36,289.556,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1572.427,978.108,57,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1130.945,968.387,103,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060211-2021060212.nc,1314022020,1320.911,1085.698,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060212-2021060213.nc,1314022020,1244.46,1008.771,41,1,2025-12-02 11:02:12.717038
lfric_name_2021060209-2021060212.nc,862536694,825.132,716.75,59,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060213-2021060214.nc,1314022020,1194.16,986.789,41,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,690.797,620.263,29,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,320.337,296.647,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1633.121,1010.887,57,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1030.206,884.362,103,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060214-2021060215.nc,1314022020,1170.106,970.37,41,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060215-2021060216.nc,1314022020,1353.326,1115.867,41,1,2025-12-02 11:02:12.717038
lfric_name_2021060212-2021060215.nc,862536694,885.402,751.229,59,1,2025-12-02 11:02:12.717038
lfric_ppvar_2021060216-2021060217.nc,1314022020,1297.289,1073.747,41,1,2025-12-02 11:02:12.717038
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1270.084,1014.616,29,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,329.974,304.746,330,1,2025-12-02 11:02:12.717038
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1115.714,820.092,57,1,2025-12-02 11:02:12.717038
