filename,n_bytes,raw_write_rate_mibs,net_write_rate_mibs,collective_writes,aggregators,created
lfric_ppvar_2021060200-2021060201.nc,1314022020,1998.919,1637.345,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060201-2021060202.nc,1314022020,1989.068,1640.756,41,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,559.669,486.976,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1511.419,898.268,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1849.79,1517.622,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060202-2021060203.nc,1314022020,1048.581,891.336,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060203-2021060204.nc,1314022020,1539.599,1250.76,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060200-2021060203.nc,862536694,1946.044,1495.307,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060204-2021060205.nc,1314022020,1909.548,1562.872,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1399.052,1129.984,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1630.318,1222.113,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1507.739,966.434,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1935.713,1579.258,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060205-2021060206.nc,1314022020,1920.107,1538.479,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060206-2021060207.nc,1314022020,1873.687,1508.408,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060203-2021060206.nc,862536694,1506.013,1150.925,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060207-2021060208.nc,1314022020,1467.674,1186.713,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1915.443,1516.047,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1832.108,1359.692,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1415.855,926.894,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1834.73,1486.717,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060208-2021060209.nc,1314022020,1891.509,1511.729,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060209-2021060210.nc,1314022020,1459.812,1192.484,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060206-2021060209.nc,862536694,1788.757,1380.446,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060210-2021060211.nc,1314022020,1472.999,1199.618,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1484.512,1166.768,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1759.259,1318.328,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1437.133,949.538,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1796.584,1488.425,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060211-2021060212.nc,1314022020,1850.792,1510.456,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060212-2021060213.nc,1314022020,1850.68,1508.577,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060209-2021060212.nc,862536694,1478.272,1185.184,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060213-2021060214.nc,1314022020,1639.421,1362.582,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1361.679,1112.361,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,1451.026,1085.414,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1451.026,1085.414,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1347.12,1121.642,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060214-2021060215.nc,1314022020,1444.294,1178.294,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060215-2021060216.nc,1314022020,1541.898,1295.68,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060212-2021060215.nc,862536694,1845.991,1476.357,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060216-2021060217.nc,1314022020,1939.173,1555.673,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1458.79,1171.032,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,1424.21,1073.248,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1441.94,930.363,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,1501.842,1225.914,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060217-2021060218.nc,1314022020,1412.824,1154.659,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060218-2021060219.nc,1314022020,1366.817,1126.122,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060215-2021060218.nc,1314022020,1476.916,1178.631,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060219-2021060220.nc,1314022020,1805.104,1461.303,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1393.333,1128.543,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,1350.35,1025.377,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,1405.467,917.792,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,1433.819,1174.887,103,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060220-2021060221.nc,1314022020,1416.565,1151.287,41,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060221-2021060222.nc,1314022020,1516.086,1225.214,41,1,2025-12-02 11:02:38.704146
lfric_name_2021060218-2021060221.nc,862536694,1290.343,1098.564,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060222-2021060223.nc,1314022020,1879.079,1527.054,41,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1163.281,972.274,29,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,1372.716,1024.614,330,1,2025-12-02 11:02:38.704146
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,1355.513,954.641,57,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1355.513,954.641,103,1,2025-12-02 11:02:38.704146
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,1848.861,1465.809,29,1,2025-12-02 11:02:38.704146
lfric_ver_tp0.nc,464964589,1458.052,1107.416,29,1,2025-12-02 11:02:38.704146
lfric_ver.nc,1137088784,1095.015,865.189,167,1,2025-12-02 11:02:38.704146
lfric_name_2021060221-2021060300.nc,862536694,1466.06,1167.678,59,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060223-2021060300.nc,1314022020,1610.728,1339.162,41,1,2025-12-02 11:02:38.704146
lfric_ppscreen.nc,1394639367,1610.728,1339.162,41,1,2025-12-02 11:02:38.704146
lfric_bg_for_hofx.nc,37779248424,1240.64,1040.894,957,1,2025-12-02 11:02:38.704146
lfric_bg_for_land_hofx.nc,60337359,1450.838,853.968,41,1,2025-12-02 11:02:38.704146
lfric_initial.nc,886433697,1523.582,1211.916,29,1,2025-12-02 11:02:38.704146
lfric_ppvar_2021060200-2021060201.nc,1314022020,1623.892,1302.594,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060201-2021060202.nc,1314022020,1979.437,1633.3,41,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,1037.711,819.522,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1914.539,1063.06,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1555.031,1242.744,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060202-2021060203.nc,1314022020,1897.079,1518.116,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060203-2021060204.nc,1314022020,1514.666,1215.909,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060200-2021060203.nc,862536694,1301.809,1053.582,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060204-2021060205.nc,1314022020,1473.912,1190.984,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1512.613,1206.075,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1552.567,1128.729,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1901.044,1252.331,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1851.393,1501.413,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060205-2021060206.nc,1314022020,1558.242,1232.844,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060206-2021060207.nc,1314022020,1541.751,1245.212,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060203-2021060206.nc,862536694,1934.06,1483.73,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060207-2021060208.nc,1314022020,1494.857,1218.166,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1875.488,1505.925,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1534.747,1143.482,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1404.693,954.128,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1440.48,1178.693,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060208-2021060209.nc,1314022020,1979.962,1558.768,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060209-2021060210.nc,1314022020,1917.289,1558.972,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060206-2021060209.nc,862536694,1901.427,1451.443,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060210-2021060211.nc,1314022020,1627.393,1280.479,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1582.24,1242.058,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1447.437,1069.028,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1985.074,1250.714,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1558.258,1245.05,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060211-2021060212.nc,1314022020,1974.507,1596.886,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060212-2021060213.nc,1314022020,1982.562,1594.949,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060209-2021060212.nc,862536694,1439.761,1207.766,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060213-2021060214.nc,1314022020,1516.539,1223.513,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,2147.77,1684.16,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,1349.383,1052.901,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,31.764,31.482,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1425.613,1171.123,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060214-2021060215.nc,1314022020,1045.436,892.974,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060215-2021060216.nc,1314022020,1528.215,1224.534,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060212-2021060215.nc,1314022020,1838.365,1460.253,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060216-2021060217.nc,1314022020,1566.214,1261.048,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1514.845,1204.946,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,1559.106,1149.354,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060215-2021060218.nc,114693348,1993.697,1220.334,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060215-2021060218.nc,5919016625,2009.589,1623.346,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060217-2021060218.nc,1314022020,2079.69,1652.514,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060218-2021060219.nc,1314022020,1588.558,1250.029,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060215-2021060218.nc,862536694,1706.443,1290.666,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060219-2021060220.nc,1314022020,1232.434,1029.308,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060215-2021060218.nc,464964589,1697.214,1301.73,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060218-2021060221.nc,1573424674,1806.939,1354.573,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060218-2021060221.nc,114693348,1915.421,1221.615,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060218-2021060221.nc,5919016625,1971.003,1598.553,103,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060220-2021060221.nc,1314022020,1937.917,1564.539,41,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060221-2021060222.nc,1314022020,1744.187,1428.649,41,1,2025-12-02 11:11:13.403091
lfric_name_2021060218-2021060221.nc,862536694,1483.651,1179.005,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060222-2021060223.nc,1314022020,1952.583,1577.137,41,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060218-2021060221.nc,464964589,1576.5,1256.452,29,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_1hr_2021060221-2021060300.nc,1573424674,1486.452,1097.71,330,1,2025-12-02 11:11:13.403091
lfric_gl_std_levs_diags_3hr_2021060221-2021060300.nc,114693348,1880.359,1162.459,57,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_1hr_2021060221-2021060300.nc,5919016625,1483.392,1207.522,103,1,2025-12-02 11:11:13.403091
lfric_gl_model_levs_diags_3hr_2021060221-2021060300.nc,464964589,1848.603,1471.951,29,1,2025-12-02 11:11:13.403091
lfric_ver_tp0.nc,303654013,1848.603,1471.951,46,1,2025-12-02 11:11:13.403091
lfric_ver.nc,303654013,1349.187,1027.433,167,1,2025-12-02 11:11:13.403091
lfric_name_2021060221-2021060300.nc,862536694,1760.038,1424.734,59,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060223-2021060300.nc,1314022020,1495.997,1221.652,41,1,2025-12-02 11:11:13.403091
lfric_ppscreen.nc,1394639367,2000.926,1555.245,41,1,2025-12-02 11:11:13.403091
lfric_bg_for_hofx.nc,37779248424,1770.931,1454.906,957,1,2025-12-02 11:11:13.403091
lfric_bg_for_land_hofx.nc,60337359,1748.882,978.121,41,1,2025-12-02 11:11:13.403091
lfric_initial.nc,886433697,1627.691,1259.485,29,1,2025-12-02 11:11:13.403091
lfric_ppvar_2021060200-2021060201.nc,1314022020,1908.661,1580.707,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060201-2021060202.nc,1314022020,2035.662,1683.301,41,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060200-2021060203.nc,1573424674,1876.838,1365.03,330,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_3hr_2021060200-2021060203.nc,114693348,1907.881,1146.074,57,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_1hr_2021060200-2021060203.nc,5919016625,1171.188,1029.302,103,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060202-2021060203.nc,1314022020,1902.248,1504.251,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060203-2021060204.nc,1314022020,1886.145,1528.627,41,1,2025-12-02 11:19:50.467869
lfric_name_2021060200-2021060203.nc,862536694,1882.921,1451.908,59,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060204-2021060205.nc,1314022020,1756.287,1436.01,41,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_3hr_2021060200-2021060203.nc,464964589,1039.777,905.933,29,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060203-2021060206.nc,1573424674,1760.835,1293.913,330,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_3hr_2021060203-2021060206.nc,114693348,1253.475,928.037,57,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_1hr_2021060203-2021060206.nc,5919016625,1837.698,1490.272,103,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060205-2021060206.nc,1314022020,1866.304,1505.616,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060206-2021060207.nc,1314022020,1906.742,1541.066,41,1,2025-12-02 11:19:50.467869
lfric_name_2021060203-2021060206.nc,862536694,1750.662,1375.403,59,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060207-2021060208.nc,1314022020,1917.291,1548.215,41,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_3hr_2021060203-2021060206.nc,464964589,1952.33,1539.156,29,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060206-2021060209.nc,1573424674,1565.215,1208.642,330,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_3hr_2021060206-2021060209.nc,114693348,1839.882,1205.545,57,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_1hr_2021060206-2021060209.nc,5919016625,1713.903,1415.153,103,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060208-2021060209.nc,1314022020,1874.388,1506.06,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060209-2021060210.nc,1314022020,1872.531,1532.799,41,1,2025-12-02 11:19:50.467869
lfric_name_2021060206-2021060209.nc,862536694,1762.41,1368.899,59,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060210-2021060211.nc,1314022020,1824.315,1498.488,41,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_3hr_2021060206-2021060209.nc,464964589,1877.739,1506.077,29,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060209-2021060212.nc,1573424674,1342.707,1057.433,330,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_3hr_2021060209-2021060212.nc,114693348,1824.803,1206.69,57,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_1hr_2021060209-2021060212.nc,5919016625,1727.831,1444.485,103,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060211-2021060212.nc,1314022020,1865.807,1528.195,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060212-2021060213.nc,1314022020,1845.849,1503.601,41,1,2025-12-02 11:19:50.467869
lfric_name_2021060209-2021060212.nc,862536694,1834.465,1486.741,59,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060213-2021060214.nc,1314022020,1877.462,1529.438,41,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_3hr_2021060209-2021060212.nc,464964589,1895.59,1522.671,29,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060212-2021060215.nc,1573424674,1895.59,1522.671,330,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_3hr_2021060212-2021060215.nc,114693348,1853.732,1157.576,57,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_1hr_2021060212-2021060215.nc,5919016625,1854.048,1524.63,103,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060214-2021060215.nc,1314022020,1894.142,1540.718,41,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060215-2021060216.nc,1314022020,1911.503,1552.2,41,1,2025-12-02 11:19:50.467869
lfric_name_2021060212-2021060215.nc,862536694,1099.267,958.721,59,1,2025-12-02 11:19:50.467869
lfric_ppvar_2021060216-2021060217.nc,1314022020,1748.618,1437.425,41,1,2025-12-02 11:19:50.467869
lfric_gl_model_levs_diags_3hr_2021060212-2021060215.nc,464964589,1821.433,1463.989,29,1,2025-12-02 11:19:50.467869
lfric_gl_std_levs_diags_1hr_2021060215-2021060218.nc,1573424674,1764.638,1340.601,330,1,2025-12-02 11:19:50.467869
